# Shree-Tel-0908  glyphs=219  plat3 codes=217
# classes: ABOVE=16  BASE=166  BELOW=22  BLANK=1  DUMMY=9  MARK=3
# overhangBase=44  tallerTwin=17  runs=38

  0x00b6 \u00B6  byte=0xb4 BASE   adv=272  ... bbox=(33,0)-(253,340)
  0x00b7 \u00B7  byte=0xb5 BASE   adv=600  ... bbox=(100,-10)-(500,390)
  0x00b8 \u00B8  byte=0xb6 BASE   adv=400  O.. bbox=(21,-116)-(420,450)
  0x00b9 \u00B9  byte=0xb7 BASE   adv=243  .D. bbox=(-161,-293)-(214,322)
  0x00ba \u00BA  byte=0xb8 BASE   adv=493  ... bbox=(41,0)-(455,360)
  0x00bb \u00BB  byte=0xb9 BASE   adv=311  O.. bbox=(41,0)-(475,359)
  0x00bc \u00BC  byte=0xba BASE   adv=534  ... bbox=(42,0)-(495,440)
  0x00bd \u00BD  byte=0xbb BASE   adv=533  ..T bbox=(41,0)-(494,555)
  0x00be \u00BE  byte=0xbc BASE   adv=290  .D. bbox=(-111,-299)-(264,318)
  0x00bf \u00BF  byte=0xbd BASE   adv=292  O.. bbox=(42,-106)-(456,360)
  0x00c0 \u00C0  byte=0xbe BASE   adv=534  ... bbox=(42,-116)-(495,440)
  0x00c1 \u00C1  byte=0xbf BASE   adv=533  ..T bbox=(41,-106)-(494,555)
  0x00c2 \u00C2  byte=0xc0 BASE   adv=290  .D. bbox=(-114,-358)-(265,323)
  0x00c3 \u00C3  byte=0xc1 BASE   adv=192  OD. bbox=(-112,-329)-(237,302)
  0x00c4 \u00C4  byte=0xc2 BASE   adv=449  O.. bbox=(33,0)-(615,360)
  0x00c5 \u00C5  byte=0xc3 BASE   adv=228  OD. bbox=(-42,-309)-(256,308)
  0x00c6 \u00C6  byte=0xc4 BASE   adv=206  O.. bbox=(32,0)-(379,349)
  0x00c7 \u00C7  byte=0xc5 BASE   adv=419  ... bbox=(36,0)-(383,514)
  0x00c8 \u00C8  byte=0xc6 BASE   adv=418  ..T bbox=(35,0)-(382,625)
  0x00c9 \u00C9  byte=0xc7 BASE   adv=267  O.. bbox=(34,-106)-(486,360)
  0x00ca \u00CA  byte=0xc8 BELOW  adv=40   .D. bbox=(-470,-303)-(-60,-25)
--- run 19  [0xcb 0xcc 0xcd 0xce 0xcf]
  0x00cb \u00CB  byte=0xc9 BASE   adv=453  ... bbox=(34,0)-(419,360)
  0x00cc \u00CC  byte=0xca BASE   adv=324  O.. bbox=(33,0)-(493,360)
  0x00cd \u00CD  byte=0xcb BASE   adv=466  ... bbox=(34,0)-(429,540)
  0x00ce \u00CE  byte=0xcc BASE   adv=466  ..T bbox=(34,0)-(429,655)
  0x00cf \u00CF  byte=0xcd BELOW  adv=40   .D. bbox=(-414,-293)-(-60,-83)
--- run 20  [0xd0 0xd1 0xd2 0xd3 0xd4 0xd5 0xd6 0xd7 0xd8 0xd9 0xda 0xdb]
  0x00d0 \u00D0  byte=0xce BASE   adv=194  O.. bbox=(21,0)-(401,361)
  0x00d1 \u00D1  byte=0xcf BASE   adv=447  ... bbox=(22,0)-(407,440)
  0x00d2 \u00D2  byte=0xd0 BASE   adv=446  ..T bbox=(22,0)-(407,555)
  0x00d3 \u00D3  byte=0xd1 BASE   adv=270  OD. bbox=(-101,-214)-(284,334)
